,Warm-up period,"All accounts we onboard go through a thorough warm-up cycle, which involves gradually increasing the daily activity.","The warm-up period is a gradual process where our growth assistants begin increasing activity on your account to safely remove Instagram's default activity limits. This ensures your account’s safety by avoiding sudden spikes in engagement, which could trigger Instagram’s security systems. It typically lasts for two weeks.","The duration of the warm-up phase can vary depending on the account. Typically, it lasts for about two weeks. During this period, your growth assistant will gradually increase the daily actions to improve your account's trust score and expand the action limits.",Rest assured that we prioritize the safety and well-being of your account. We warm up your account before implementing any strategies to minimize any potential issues.,The warm-up process is designed to improve your account's trust score in the long term. It is effective for both new and established accounts., ,,,,,,,,,,,,,,,,,,
,Low growth or low engagement,"We understand your concern about slow growth, and we'd like to help.

It's important to note that individual results may vary depending on the quality of your content. As our service is entirely organic, it may take some time to grow. However, we're here to assist you in optimizing your growth for better results.

To address this issue, we recommend discussing your specific situation with your personal growth assistant here: https://assistant.ascendviral.com/messages

The idea is to refer them to their growth assistant, they are the ones that help with growth.","Hi there, I don't have your specific information at the moment, so I can't provide a detailed comment on why your growth is at its current point. However, I can reach out to your growth assistant and discuss this matter further. Would it be alright if I send you an email with more information after I consult with them?","You mentioned that you're experiencing issues with the engagement on your account. To address this matter, I recommend discussing it with your growth assistant. They are well-equipped to provide you with a detailed consultation and guidance on improving your engagement.

You can conveniently reach out to your growth assistant by visiting this link: https://assistant.ascendviral.com/messages","In some cases, individuals may not experience the anticipated growth with our service due to previous activity on their account, such as buying fake followers. Instagram often removes these fake followers, which can lead to a decrease in the overall follower count. However, we can still help you gain real, engaging followers during that period, even if the net result may appear as a slight decrease.","It seems that we briefly lowered activity in order to keep your account healthy. Sometimes, we see indicators early on that tell us to take a break and go a bit slower in order to reach max performance later.
I'll take a look at your account and see what can I find. I'll also reach out to your personal growth assistant so they can follow-up with you.", ,,,,,,,,,,,,,,,,,,
,Follower retention,"Retention rates primarily depend on the quality of your content and how well you engage with your audience. Ascend Viral serves as a catalyst, while your content serves as the driving force for long-term engagement and follower retention.","The followers we gain for your account are real, genuine users. The best way to retain them is by consistently posting high-quality content and actively engaging with your audience. Respond to comments, interact with their posts, and maintain a regular posting schedule—this helps build a strong connection and keeps your followers interested in your content long-term.","If you consistently post compelling content and actively engage with your audience through comments, direct messages, and stories, there's no reason for people to unfollow you.",,"Unlike growth methods such as giveaways or buying followers, Ascend Viral excels in follower retention. Our methods focus on gaining real and active followers who genuinely like your content, leading to better long-term engagement and retention.","With Ascend Viral, all the followers you gain are real people.",Follower retention depends on the quality of your content and your engagement with your audience., ,,,,,,,,,,,,,,,,
,Targeting & niche,Absolutely! We can target accounts that are most similar to yours or larger accounts whose followers would likely enjoy your content. This helps us connect with an audience that is already interested in your niche.,"Our service is designed to work with almost all niches and accounts. As long as your target audience is on Instagram, we can assist you in growing your account.",We can target English-speaking users and optimize your targeting based on location as well. This allows us to narrow down the audience to those who are most likely to be interested in your content.,"Rest assured, we can absolutely adjust our targeting to better suit your preferences. All you have to do is provide us with feedback and examples of accounts we followed that don’t align with your goals. Your assistant will promptly start optimizing the targeting to ensure we’re reaching the right audience for your account.","I often describe Ascend Viral as gasoline, where your content and targeting preferences act as the fire. We can only enhance your growth if your content and targeting are already effective.","The range of followers we can target typically falls between 5,000 to 200,000 followers. This range allows for effective engagement and interaction with a substantial and engaged audience.","Certainly, we can target your competitors' followers as well as followers of specific hashtags. We can also customize targeting based on location and various other factors to ensure that we connect with the right audience for your account.","Yes, we can certainly target an audience from a specific country. We work with numerous accounts that target Spanish-speaking audiences (and other languages), so we have experience in helping you reach your desired audience.","We are pleased to inform you that we can indeed help grow accounts in foreign languages. Our services are not limited to any specific language, and we can target your desired audience regardless of the language they speak.
Our personal growth assistants are experienced in optimizing profiles and strategies for accounts in various languages. They will guide you through the process and ensure that you achieve the best results.","Yes, we work with non-English accounts as well. We can target users based on geolocation, hashtags, or specific accounts. If you can provide us with a list of your competitors or accounts similar to yours, we can target their audience effectively.","Our service is designed to work for a wide range of niches and accounts, including artists. We have successfully worked with many artists from around the world to help them grow their Instagram presence.","If you have competitor accounts in mind that are similar to yours, our service is likely to work well for you.", ,,,,,,,,,,,
,Wrong targeting,"At Ascend Viral, we have developed one of the best targeting practices in our industry. However, it's important to note that our filters are not 100% perfect, and there is a margin for error.
We strive to effectively filter out approximately 85% of the wrong users, but there may still be instances where some incorrect accounts slip through the cracks. Additionally, given the high prevalence of fake and bot accounts on Instagram, it becomes challenging to ensure a completely error-free targeting process.","Please note that targeting is an evolving process, and achieving perfect accuracy can be difficult. Instagram doesn't share sensitive details like users' location, age, or gender, and many users don't include this information in their profiles. However, we're always refining our techniques to enhance your targeting for the best possible results.","In some cases, we may follow a private account that appears normal from the outside, but upon acceptance, it becomes evident that the account is not as appropriate or targeted as we initially thought. We acknowledge this issue and are committed to improving our targeting methods.","Unfortunately, ghost followers are something beyond our control. Occasionally, users may follow your account who are bots or become inactive over time.", ,,,,,,,,,,,,,,,,,,,
,Projected metrics (to be removed),,,,,,,,,,,,,,,,,,,,,,,,
,Hashtags,"For the hashtags, you can follow the strategy below, it will get you the best results possible:
2-3 hashtags where their average post likes are lower than your average (because it's easy to rank)
2-3 hashtags where their average post likes are the same as your average (medium difficulty to rank)
2-3 hashtags where their average post likes are a little higher than your average (hard to rank but will bring traffic)", ,,,,,,,,,,,,,,,,,,,,,,
,Growth strategy,"Once you sign up, you'll be asked to complete a brief onboarding form that takes about 5 minutes. In this form, you'll need to provide your Instagram login details and share information about your account and target audience. This helps us understand who you'd like to target and any specific preferences you might have.","Our service is designed to work for a wide range of niches and accounts, including artists. We have successfully worked with many artists from around the world to help them grow their Instagram presence.","When you fill out your growth strategy, please make sure to include the specific locations you want us to target in the ""locations"" field. It can be a city, state, or even an entire country. We will then focus on finding and engaging with the audience from your preferred location.","I often describe Ascend Viral as gasoline, where your content and targeting preferences act as the fire. We can only enhance your growth if your content and targeting are already effective.","To make the update, you can send a message to your assistant through the messaging section of our platform. They will assist you in making the necessary changes, or you can edit your growth strategy in the settings section to enter the correct information.","To fill out a new growth strategy form, please visit

https://assistant.ascendviral.com/onboarding", ,,,,,,,,,,,,,,,,,
,Other growth methods / fake followers,"Unlike growth methods such as giveaways or buying followers, Ascend Viral excels in follower retention. Our methods focus on gaining real and active followers who genuinely like your content, leading to better long-term engagement and retention.","The follow actions we perform offer better return on investments (ROIs) and are highly effective when targeted towards the right audience for your account. This can help generate meaningful traffic, momentum, and sales.","In some cases, individuals may not experience the anticipated growth with our service due to previous activity on their account, such as buying fake followers. Instagram often removes these fake followers, which can lead to a decrease in the overall follower count. However, we can still help you gain real, engaging followers during that period, even if the net result may appear as a slight decrease.","Mass likes is generally not a good strategy for several reasons, including the risk of attracting bot followers and low-quality giveaway followers.","It's important to note that using multiple growth services simultaneously can lead to account closure, so it's recommended to stick with one service at a time.","We make use of the maximum capacity of your account, running your growth from a dedicated device. Our growth experts push your account to its limits in terms of interactions to achieve the best results.","It is generally not recommended to use any kind of automation in conjunction with our service. Previous automation practices, such as auto-liking, can potentially hinder your results due to increased restrictions from Instagram.",Deleting a large number of followers in bulk is not recommended as it can be seen as suspicious by Instagram and may result in actions against your account. We advise against deleting more than 30-50 followers per day to avoid potential consequences.,"The good news is that Instagram takes regular actions to remove bots from the platform. Over time, these ghost followers will likely be identified and removed from your account by Instagram's automated systems.", ,,,,,,,,,,,,,,
Content creation and strategy,Creating posts and content,"If you opt for the turbo plan, we can provide additional assistance with your content strategy and offer advice to help accelerate your account's growth. However, please note that we do not post or schedule content on your behalf.","Yes, we can provide recommendations and advice, but we do not post or schedule content for you.","Regarding content, I want to emphasize the importance of consistency. Regularly posting high-quality content is crucial to achieving desirable results","Here’s the revised version:  

To begin our service, we require a minimum of **9 high-quality posts** on your profile. Along with this, having a well-crafted bio and a good profile picture is essential to maximize your growth potential. Please note that newer accounts may take longer to achieve noticeable growth results, but meeting these requirements ensures the best possible start.","What specifically are you finding challenging when it comes to content creation?

1. Difficulty generating ideas

2. Insufficient engagement on your posts

3. Uncertainty about which captions and hashtags to use

4. Limited time available for content creation

If you're facing any of these challenges, our Turbo plan can be beneficial for you. We can provide guidance on finding compelling content ideas, help you decide between multiple ideas, offer strategies to increase engagement, and assist with crafting captivating captions and selecting relevant hashtags. However, it's important to note that you will still be responsible for actually creating the content yourself.","You will still be responsible for creating and posting high-quality content. With the turbo plan, we can also assist you with your content strategy and provide additional advice to help accelerate your account growth.","There are other services available, such as Fiverr, that can assist with creating posts while you utilize Ascend Viral for growth. Some of our customers opt for this approach, so it could be a possibility for you as well.","I suggest opting for the Turbo package, as our service depends on your personal follow-back ratio. This ratio improves with high-quality content and precise targeting, which your dedicated growth assistant will handle for you.",We recommend posting a minimum of three times a week to maintain an active presence on Instagram.,"As long as the content aligns with your brand, is relevant to your niche, and generates decent engagement, you should post it as often as possible.","A viral reel refers to any content that significantly expands your reach beyond your current audience. For example, if you have 1,000 followers and a reel that receives 5,000 views and 500 likes, it can be considered ""viral."" While it may not make you instantly famous, it signifies that people who typically do not see or engage with your content are now doing so.", ,,,,,,,,,,,,
,Past growth services (to be removed),,,,,,,,,,,,,,,,,,,,,,,,
,Using hashtags and other tactics to improve growth. (Likes or comments),"The follow actions we perform offer better return on investments (ROIs) and are highly effective when targeted towards the right audience for your account. This can help generate meaningful traffic, momentum, and sales.","No, we do not perform any likes or comments on your behalf. This is because these actions do not provide a good return on investment (ROI) and are often prone to frequent action blocks. Additionally, comments need to be highly personalized in order to be effective.Instead, our main focus is on follow actions, which have better ROI and are highly effective when targeted towards the right audience for your account. By engaging with the right audience through follows, we can help you generate meaningful traffic, momentum, and potential sales.","Hashtags play a significant role. Conduct thorough hashtag research and identify smaller hashtags that align with your content. Analyze popular posts within those hashtags, considering factors such as likes, comments, and content type. Aim to use a mix of hashtags:               
- 10 hashtags with an average post likes smaller than your average (easier to rank)
- 10 hashtags with an average post likes similar to your average (medium difficulty to rank)
- 10 hashtags with an average post likes slightly higher than your average (challenging to rank but will bring more traffic)
Mix and match your hashtags for each post and track when you make it to the top posts to reuse those hashtags in the future.", ,,,,,,,,,,,,,,,,,,,,
Customer support and communication,Thanking customers,Thank you for showing interest in Ascend Viral!,Thank you for taking the time to explore Ascend Viral!,Thank you for your understanding! I will prioritize sending you an email as soon as possible to address your concerns.,"Perfect! If you need any further assistance, feel free to reach out. Thanks for chatting with us,[client's name]!","Okay, sounds good. Thank you again, [client's name]! We would be delighted to assist you again whenever you need our services. :)",Let me know if there's anything else I can help you with!,Thank you! I appreciate it. :) We are excited to work with you as well. Have a wonderful evening!,Please don't hesitate to reach out if you have any further inquiries or require additional support.,Thanks for trying Ascend Viral. We would love to have you back whenever you decide to return.,Thank you for reaching out.,Thank you for reaching out to us and expressing your interest in Ascend Viral!,"Thank you for providing your feedback. We highly value it, and our team will investigate the matter thoroughly.", ,,,,,,,,,,,
,Buying time (when you can't answer something),"Thanks for your patience! Unfortunately, I don’t have access to this information right now, but I’ll get back to you via email soon :)",Let me double-check this with my manager to ensure I have the correct information. I’ll email you soon with an update!,Thanks for bringing this to my attention! I’ll review it further and email you an update as soon as possible.,I’m currently looking into this for you. I’ll follow up with you via email shortly!,Your isue has been forwarded to the relevant team. I'll get back to you by email once it's fixed!, ,,,,,,,,,,,,,,,,,,
